,hamiltonian,hamiltonian_desired,h_dot,h_dot_desired,x1,x2,psi,x1_dot,x2_dot,x1_desired,x2_desired,p1,p2,p1_dot,p2_dot,p1_desired,p2_desired,control_constraint,x0,y0,xf,yf,cost,time,elapsed_time
69,-1.5887372,-1.5811061,-0.36870104,-0.26932344,-5.547837,8.78247,-1.7313324,-1.5734632,-9.854616,-1.5984744,-9.871417,0.057033315,0.35075,-0.6531972,0.079942666,-0.6533804,0.06792678,0.002334714,-4.2610054,11.437855,8.628517,-1.378726,1.9648285,0.3003851,631.3265
70,-1.5903399,-1.5822855,-0.36762857,-0.27251396,-5.554513,8.739541,-1.7232714,-1.493633,-9.86777,-1.5188493,-9.883982,0.05419223,0.35108852,-0.6519901,0.07558175,-0.6522121,0.063987605,0.0023844838,-4.2610054,11.437855,8.628517,-1.378726,1.9621224,0.30473852,631.3265
71,-1.5919381,-1.5834788,-0.36645013,-0.27570015,-5.560842,8.696553,-1.7152313,-1.4139795,-9.880332,-1.4393331,-9.895874,0.05135657,0.35140806,-0.6507795,0.07122566,-0.6510425,0.06006781,0.0024248362,-4.2610054,11.437855,8.628517,-1.378726,1.9594709,0.30909196,631.3265
72,-1.5935303,-1.584686,-0.36517778,-0.27888268,-5.566825,8.653514,-1.7072123,-1.3345109,-9.892303,-1.359933,-9.907098,0.048526004,0.35170865,-0.649565,0.06687466,-0.64987206,0.056167424,0.0024516582,-4.2610054,11.437855,8.628517,-1.378726,1.9568738,0.31344533,631.3265
73,-1.5951173,-1.5859071,-0.36381567,-0.28206182,-5.5724616,8.610425,-1.6992145,-1.2552273,-9.903686,-1.2806547,-9.917658,0.045700848,0.35199034,-0.64834666,0.06252949,-0.6487003,0.052285943,0.0024672747,-4.2610054,11.437855,8.628517,-1.378726,1.9543293,0.31779873,631.3265
74,-1.596699,-1.587142,-0.36237478,-0.2852378,-5.5777545,8.5672865,-1.6912372,-1.1761314,-9.91448,-1.2014991,-9.927558,0.042881012,0.35225314,-0.64712423,0.05819047,-0.6475265,0.0484227,0.002471894,-4.2610054,11.437855,8.628517,-1.378726,1.9518361,0.32215217,631.3265
75,-1.5982726,-1.5883906,-0.36086026,-0.28841108,-5.5827026,8.524102,-1.6832801,-1.0972241,-9.9246855,-1.1224673,-9.936804,0.040066406,0.352497,-0.6458978,0.053857803,-0.6463509,0.044577457,0.0024656355,-4.2610054,11.437855,8.628517,-1.378726,1.949394,0.32650557,631.3265
76,-1.5998399,-1.5896531,-0.35928577,-0.29158214,-5.5873075,8.480873,-1.6753434,-1.0185109,-9.934302,-1.0435672,-9.945399,0.0372573,0.35272205,-0.6446674,0.049532536,-0.64517343,0.040749684,0.0024495423,-4.2610054,11.437855,8.628517,-1.378726,1.9470022,0.33085898,631.3265
77,-1.6014005,-1.5909294,-0.3576553,-0.29475096,-5.5915704,8.437606,-1.6674267,-0.9399964,-9.943334,-0.9648007,-9.953349,0.034453586,0.35292828,-0.64343274,0.04521475,-0.64399314,0.03693931,0.0024231076,-4.2610054,11.437855,8.628517,-1.378726,1.9446586,0.33521235,631.3265
78,-1.6029537,-1.5922195,-0.35597855,-0.297918,-5.595492,8.3942995,-1.6595296,-0.86167866,-9.951776,-0.8861685,-9.960658,0.031655,0.35311574,-0.6421936,0.04090449,-0.6428102,0.033145722,0.0023845732,-4.2610054,11.437855,8.628517,-1.378726,1.942363,0.33956578,631.3265
79,-1.6045005,-1.5935233,-0.35426235,-0.30108336,-5.599074,8.350959,-1.651652,-0.7835617,-9.959634,-0.8076758,-9.967329,0.028862074,0.35328448,-0.64095056,0.036603097,-0.64162374,0.029368699,0.002338469,-4.2610054,11.437855,8.628517,-1.378726,1.9401133,0.34391922,631.3265
80,-1.6060387,-1.5948409,-0.35251373,-0.3042476,-5.6023154,8.307586,-1.6437937,-0.7056453,-9.966901,-0.72932565,-9.973369,0.026074424,0.35343444,-0.6397029,0.032310292,-0.6404343,0.02560791,0.00228104,-4.2610054,11.437855,8.628517,-1.378726,1.93791,0.3482726,631.3265
81,-1.6075695,-1.5961722,-0.35074452,-0.30741104,-5.6052175,8.26418,-1.6359543,-0.6279317,-9.973583,-0.6511184,-9.97878,0.023292229,0.3535658,-0.63845086,0.02802693,-0.6392416,0.021862816,0.0022148192,-4.2610054,11.437855,8.628517,-1.378726,1.9357519,0.352626,631.3265
82,-1.6090928,-1.5975175,-0.34895387,-0.31057346,-5.607783,8.220748,-1.6281334,-0.5504181,-9.979678,-0.5730568,-9.983567,0.020515501,0.3536785,-0.637194,0.023753284,-0.63804406,0.018133327,0.0021400303,-4.2610054,11.437855,8.628517,-1.378726,1.9336368,0.35697943,631.3265
